text1,text2,text3,text4,istrue
arthritis,org,conditions,diseasecen,-1
http,www,atlantapsychiatry,com,-1
http,www,uta,edu,-1
www,uta,edu,student,-1
uta,edu,student,orgs,-1
edu,student,orgs,sca,-1
student,orgs,sca,scauta,-1
orgs,sca,scauta,html,-1
http,membres,lycos,fr,-1
membres,lycos,fr,clemy,-1
http,plantbio,berkeley,edu,-1
http,www,coppinstatesports,com,-1
www,coppinstatesports,com,ssp,-1
coppinstatesports,com,ssp,wtrk,-1
com,ssp,wtrk,home,-1
http,www,dateastar,net,-1
www,dateastar,net,planetaryseals,-1
dateastar,net,planetaryseals,html,-1
http,www,dcroads,net,-1
http,www,hsmai,org,-1
http,www,toyhorse,com,-1
http,www,bobtheserver,com,-1
http,mooreschool,sc,edu,-1
http,www,quicktechusa,com,1
http,www,poisonweb,com,-1
http,holloway,co,nz,1
holloway,co,nz,docvert,1
http,www,vonbartha,com,-1
http,www,kispayroll,com,-1
http,www,adobe,com,-1
www,adobe,com,products,-1
adobe,com,products,activeshare,-1
http,www,gunghaggisfatchoy,com,-1
http,misspelisse,canalblog,com,-1
http,www,adderburyscouts,com,1
http,www,banningeyre,com,-1
http,www,manitobastarch,com,-1
http,groups,yahoo,com,-1
groups,yahoo,com,group,-1
yahoo,com,group,not,-1
com,group,not,f,-1
http,www,loomisinsurance,com,-1
http,www,borzoicentral,com,-1
http,vazquez,gq,nu,-1
http,othello,mech,northwestern,-1
othello,mech,northwestern,edu,-1
mech,northwestern,edu,peshkin,-1
http,www,wireformingmachinery,com,-1
http,www,bhiltd,com,-1
http,www,rockscissorpaper,com,-1
http,www,klx,com,-1
www,klx,com,guide,-1
klx,com,guide,norwich,-1
com,guide,norwich,html,-1
http,www,gnb,ca,-1
http,www,omnitel,net,-1
www,omnitel,net,martynas,-1
omnitel,net,martynas,virus,-1
net,martynas,virus,e,-1
martynas,virus,e,mail,-1
http,www,georgedillon,com,-1
www,georgedillon,com,web,-1
georgedillon,com,web,netiquette,-1
com,web,netiquette,shtml,-1
http,www,clinnutr,org,1
http,www,glasgowchamberchoir,org,-1
www,glasgowchamberchoir,org,uk,-1
http,www,rijmhulp,nl,-1
http,www,northwoodcc,org,-1
http,www,slipcovershop,com,-1
http,www,hoglandercharters,com,1
http,www,repriserec,com,1
www,repriserec,com,loureed,1
http,www,zwire,com,-1
www,zwire,com,site,-1
zwire,com,site,news,-1
com,site,news,cfm,-1
site,news,cfm,newsid,-1
http,pc,ign,com,-1
pc,ign,com,objects,-1
ign,com,objects,html,-1
http,www,geocities,com,-1
www,geocities,com,prekinder,-1
http,www,womanht,com,-1
www,womanht,com,bf,-1
womanht,com,bf,index,-1
com,bf,index,htm,-1
http,www,lampstyle,com,-1
http,www,nidr,nih,-1
www,nidr,nih,gov,-1
nidr,nih,gov,health,-1
nih,gov,health,newsandhealth,-1
gov,health,newsandhealth,c,-1
http,www,bathbuccaneers,co,-1
www,bathbuccaneers,co,uk,-1
http,www,gbgm,umc,-1
www,gbgm,umc,org,-1
gbgm,umc,org,graysumc,-1
http,www,wingsisp,com,-1
www,wingsisp,com,red,-1
wingsisp,com,red,hot,-1
com,red,hot,bear,-1
red,hot,bear,htm,-1
http,www,riovistachurch,org,-1
http,miss,mcdonald,livejournal,-1
miss,mcdonald,livejournal,com,-1
http,www,randomhouse,com,-1
www,randomhouse,com,delrey,-1
http,www,cvm,tamu,-1
www,cvm,tamu,edu,-1
cvm,tamu,edu,vtpp,-1
http,www,vertronics,com,-1
http,www,staff,scheduler,1
www,staff,scheduler,com,1
http,www,ellipsis,com,-1
www,ellipsis,com,mekons,-1
ellipsis,com,mekons,index,-1
com,mekons,index,html,-1
http,www,birds,of,1
www,birds,of,denmark,1
birds,of,denmark,dk,1
of,denmark,dk,hvidvinget,1
denmark,dk,hvidvinget,maag,1
http,www,photogs,com,1
www,photogs,com,bwworld,1
photogs,com,bwworld,potass,1
com,bwworld,potass,html,1
http,groups,yahoo,com,-1
groups,yahoo,com,group,-1
yahoo,com,group,thinice,-1
http,www,downfieldgolf,co,-1
www,downfieldgolf,co,uk,-1
http,www,hendersonbarlazyl,com,-1
http,www,math,uic,1
www,math,uic,edu,1
http,feynatic,m,com,-1
http,www,justimagineevents,com,-1
http,www,flyvlm,com,-1
http,www,liparrots,org,-1
http,www,ucc,org,-1
www,ucc,org,beliefs,-1
ucc,org,beliefs,theology,-1
org,beliefs,theology,two,-1
beliefs,theology,two,famous,-1
http,www,atuwesleyfoundation,org,-1
http,www,harlanlodge,org,-1
http,www,unityofvero,com,-1
http,www,dcawebdesign,com,-1
http,www,catholic,org,1
www,catholic,org,saints,1
catholic,org,saints,saint,1
org,saints,saint,php,1
saints,saint,php,saint,1
http,www,geocities,com,-1
www,geocities,com,area,-1
geocities,com,area,shadowlands,-1
http,www,thesolutionsite,com,-1
http,www,thestarkeepers,com,-1
http,www,automaticmusic,nl,1
http,www,askmen,com,-1
www,askmen,com,men,-1
askmen,com,men,entertainment,-1
com,men,entertainment,bon,-1
http,www,geocities,com,-1
www,geocities,com,leedesch,-1
http,www,dps,state,-1
www,dps,state,la,-1
dps,state,la,us,-1
state,la,us,omv,-1
la,us,omv,driversguide,-1
us,omv,driversguide,html,-1
http,www,ezvaluator,com,1
http,www,alexia,us,1
www,alexia,us,avengers,1
http,www,americanfolkarts,com,-1
http,soi,cnr,it,-1
soi,cnr,it,archcalc,-1
cnr,it,archcalc,bibliografia,-1
it,archcalc,bibliografia,new,-1
archcalc,bibliografia,new,htm,-1
http,www,clitheroedolphins,com,-1
http,www,catteryrow,com,1
www,catteryrow,com,listings,1
catteryrow,com,listings,abyssinian,1
http,www,crystalbeshara,com,1
http,www,rebeccacaudill,org,-1
http,www,newadvent,org,-1
www,newadvent,org,cathen,-1
newadvent,org,cathen,b,-1
org,cathen,b,htm,-1
http,en,wikipedia,org,-1
en,wikipedia,org,wiki,-1
wikipedia,org,wiki,gnu,-1
org,wiki,gnu,octave,-1
http,en,wikipedia,org,-1
en,wikipedia,org,wiki,-1
wikipedia,org,wiki,niccol%c,-1
org,wiki,niccol%c,%b,-1
wiki,niccol%c,%b,mach,-1
http,www,couturefinancial,com,1
http,queendarcy,tripod,com,-1
queendarcy,tripod,com,crow,-1
http,kfouleggs,sourceforge,net,-1
http,www,astroproducts,net,-1
http,www,angelfire,com,-1
www,angelfire,com,extreme,-1
angelfire,com,extreme,deafdiscgolf,-1
http,www,greenbankfarm,com,-1
http,www,kshs,org,-1
www,kshs,org,places,-1
kshs,org,places,grinter,-1
http,www,thistothat,com,1
http,www,stthomas,edu,-1
www,stthomas,edu,mcl,-1
http,www,cybersickness,org,-1
http,www,cs,bham,-1
www,cs,bham,ac,-1
cs,bham,ac,uk,-1
bham,ac,uk,research,-1
ac,uk,research,projects,-1
uk,research,projects,cog,-1
http,www,wilmotspeedway,com,-1
http,www,arcadeoutpost,net,1
http,www,all,reviews,-1
www,all,reviews,com,-1
all,reviews,com,videos,-1
reviews,com,videos,indiana,-1
com,videos,indiana,jo,-1
http,www,pqrs,org,-1
www,pqrs,org,tekezo,-1
pqrs,org,tekezo,dreamcast,-1
org,tekezo,dreamcast,software,-1
http,www,lifepositive,com,-1
www,lifepositive,com,meditation,-1
lifepositive,com,meditation,html,-1
http,www,practicalwinery,com,-1
http,www,ruoutside,com,-1
http,www,telcsb,org,1
http,www,killrockstars,com,-1
www,killrockstars,com,artists,-1
killrockstars,com,artists,viewartis,-1
http,www,ncpamd,com,1
www,ncpamd,com,family,1
ncpamd,com,family,therapy,1
com,family,therapy,htm,1
http,www,fortunecity,com,-1
www,fortunecity,com,lavender,-1
fortunecity,com,lavender,ridleyford,-1
http,www,icebird,org,-1
http,www,police,foundation,-1
www,police,foundation,org,-1
police,foundation,org,uk,-1
http,www,bluffpointdesigns,com,-1
http,civilwarwomen,blogspot,com,-1
http,www,screenco,online,-1
www,screenco,online,com,-1
http,zstar,sourceforge,net,1
http,groups,yahoo,com,-1
groups,yahoo,com,group,-1
yahoo,com,group,thephiladelphias,-1
http,www,vrg,org,-1
www,vrg,org,recipes,-1
vrg,org,recipes,vjmesoup,-1
org,recipes,vjmesoup,htm,-1
http,www,hanfield,org,1
http,www,all,reviews,1
www,all,reviews,com,1
all,reviews,com,videos,1
reviews,com,videos,catwoman,1
com,videos,catwoman,htm,1
http,www,classicnote,com,1
www,classicnote,com,classicnotes,1
classicnote,com,classicnotes,titles,1
http,www,thecorrs,org,-1
http,www,willametteevergreen,com,-1
http,www,rch,unimelb,-1
www,rch,unimelb,edu,-1
rch,unimelb,edu,au,-1
unimelb,edu,au,cah,-1
http,www,peacelutheranchurch,com,-1
http,www,gamestats,com,1
www,gamestats,com,objects,1
http,www,swatmovie,com,1
http,www,brooklynposters,com,-1
www,brooklynposters,com,cowboy,-1
brooklynposters,com,cowboy,from,-1
com,cowboy,from,bkl,-1
http,www,flattrack,com,-1
http,www,softexe,com,-1
www,softexe,com,curhider,-1
softexe,com,curhider,html,-1
http,www,stanleysstingerflies,com,-1
http,oregonstate,edu,instruct,1
oregonstate,edu,instruct,phl,1
edu,instruct,phl,philoso,1
http,www,flowersforkids,org,-1
http,www,ascendancygaming,com,-1
http,www,domainmarvelous,com,-1
http,www,fbac,co,-1
www,fbac,co,uk,-1
http,www,troop,itgo,-1
www,troop,itgo,com,-1
http,www,supercriticalfluids,com,-1
http,www,nzbirds,com,-1
www,nzbirds,com,birds,-1
nzbirds,com,birds,koekoea,-1
com,birds,koekoea,html,-1
http,papers,ssrn,com,-1
papers,ssrn,com,sol,-1
ssrn,com,sol,papers,-1
com,sol,papers,cfm,-1
sol,papers,cfm,abstrac,-1
http,www,seobythesea,com,-1
www,seobythesea,com,p,-1
http,www,hardcoregoldengirls,com,-1
www,hardcoregoldengirls,com,campus,-1
http,ltsn,mathstore,ac,-1
ltsn,mathstore,ac,uk,-1
mathstore,ac,uk,workshops,-1
ac,uk,workshops,assess,-1
http,www,naturalbarbies,com,-1
http,www,pearsonhighered,com,-1
www,pearsonhighered,com,educator,-1
pearsonhighered,com,educator,academ,-1
http,www,geocities,com,-1
www,geocities,com,catechist,-1
http,www,keytroller,com,-1
http,www,travel,watch,-1
www,travel,watch,com,-1
http,rbuilder,sourceforge,net,-1
http,www,virtualonecu,com,-1
http,www,freewebs,com,-1
www,freewebs,com,unlugarcelestial,-1
http,www,sagaem,it,-1
http,www,geocities,com,-1
www,geocities,com,athens,-1
geocities,com,athens,aegean,-1
com,athens,aegean,mo,-1
http,www,nic,mx,-1
http,www,itu,int,1
www,itu,int,missions,1
itu,int,missions,trinidad,1
int,missions,trinidad,tobago,1
http,www,cmc,ie,-1
www,cmc,ie,composers,-1
cmc,ie,composers,composer,-1
ie,composers,composer,cfm,-1
composers,composer,cfm,compo,-1
http,www,hyperlite,com,1
http,www,richardlhall,pwp,-1
www,richardlhall,pwp,blueyonder,-1
richardlhall,pwp,blueyonder,co,-1
pwp,blueyonder,co,uk,-1
http,www,lilorbits,com,-1
http,home,earthlink,net,1
home,earthlink,net,ggda,1
earthlink,net,ggda,biology,1
net,ggda,biology,of,1
ggda,biology,of,yea,1
http,sinclairneeson,megs,com,1
http,www,rollingstone,com,1
www,rollingstone,com,artists,1
rollingstone,com,artists,swirlies,1
http,www,rmpbs,org,-1
http,www,geocities,com,-1
www,geocities,com,pipeline,-1
geocities,com,pipeline,ridge,-1
com,pipeline,ridge,s,-1
http,www,wer,us,-1
www,wer,us,org,-1
http,www,busoc,be,-1
http,www,chelsearumours,com,1
http,www,tvguide,com,-1
www,tvguide,com,movies,-1
http,groups,yahoo,com,-1
groups,yahoo,com,group,-1
yahoo,com,group,moms,-1
com,group,moms,homeschool,-1
http,www,about,teen,-1
www,about,teen,oral,-1
about,teen,oral,sex,-1
teen,oral,sex,com,-1
http,www,csalliance,org,-1
http,www,matthiasmedia,com,-1
www,matthiasmedia,com,au,-1
matthiasmedia,com,au,esv,-1
com,au,esv,close,-1
au,esv,close,bibl,-1
http,filebox,vt,edu,-1
filebox,vt,edu,artsci,-1
vt,edu,artsci,geology,-1
edu,artsci,geology,mclean,-1
artsci,geology,mclean,di,-1
http,www,stillmovingyoga,com,-1
http,www,main,org,-1
www,main,org,arboretumtm,-1
http,www,centergrovefootball,com,-1
http,www,folksonspokes,com,-1
http,nutstown,thewolfhoundconnection,com,1
http,www,nottingham,music,-1
www,nottingham,music,society,-1
nottingham,music,society,org,-1
music,society,org,uk,-1
http,www,rarediseases,org,-1
www,rarediseases,org,search,-1
rarediseases,org,search,rdbdetail,-1
org,search,rdbdetail,a,-1
http,www,robertorizzi,com,-1
http,www,mechstudio,com,-1
www,mechstudio,com,servicesen,-1
mechstudio,com,servicesen,html,-1
http,www,pgatour,com,1
www,pgatour,com,players,1
http,www,geocities,com,-1
www,geocities,com,anotherbeat,-1
geocities,com,anotherbeat,poetr,-1
http,www,ciar,ca,-1
http,delta,intkey,com,-1
delta,intkey,com,angio,-1
intkey,com,angio,www,-1
com,angio,www,cuscutac,-1
angio,www,cuscutac,htm,-1
http,www,cheatscodesguides,com,-1
www,cheatscodesguides,com,nintendo,-1
cheatscodesguides,com,nintendo,ds,-1
com,nintendo,ds,c,-1
http,www,geocities,com,-1
www,geocities,com,hiandmightyicecreampi,-1
http,www,osaka,monorail,-1
www,osaka,monorail,co,-1
osaka,monorail,co,jp,-1
http,www,dcmilitary,com,-1
www,dcmilitary,com,trident,-1
http,www,moviepornlist,com,-1
http,www,searchmothers,com,-1
www,searchmothers,com,mothers,-1
searchmothers,com,mothers,rights,-1
http,flag,blackened,net,-1
flag,blackened,net,rocker,-1
blackened,net,rocker,polreg,-1
net,rocker,polreg,htm,-1
http,www,dhaniwoollenmills,com,-1
http,www,livelystone,org,-1
www,livelystone,org,churches,-1
livelystone,org,churches,html,-1
http,www,pfactor,com,-1
http,www,whitmanpioneer,com,-1
http,www,engineous,com,-1
http,www,tff,org,-1
www,tff,org,default,-1
tff,org,default,aspx,-1
org,default,aspx,pageid,-1
default,aspx,pageid,amp,-1
http,www,oehler,research,-1
www,oehler,research,com,-1
http,www,mrscavanaughs,com,1
http,www,westernwheelers,org,-1
http,www,botanical,com,-1
www,botanical,com,botanical,-1
botanical,com,botanical,mgmh,-1
com,botanical,mgmh,a,-1
botanical,mgmh,a,anis,-1
http,groups,yahoo,com,-1
groups,yahoo,com,group,-1
yahoo,com,group,linknfactoid,-1
com,group,linknfactoid,mes,-1
http,www,louisville,edu,-1
www,louisville,edu,edu,-1
louisville,edu,edu,edtl,-1
edu,edu,edtl,faculty,-1
edu,edtl,faculty,tre,-1
http,www,linguaportuguesa,ufrn,-1
www,linguaportuguesa,ufrn,br,-1
http,www,prairieghosts,com,-1
www,prairieghosts,com,torso,-1
prairieghosts,com,torso,html,-1
http,www,hyperformix,com,-1
http,www,marasoft,com,-1
http,www,medranohoganslaw,com,-1
http,www,auschess,org,-1
www,auschess,org,au,-1
auschess,org,au,gcccfp,-1
org,au,gcccfp,htm,-1
http,www,romamor,it,1
www,romamor,it,ricetteng,1
romamor,it,ricetteng,ricette,1
it,ricetteng,ricette,htm,1
http,members,tripod,com,-1
members,tripod,com,ainderbycampanile,-1
tripod,com,ainderbycampanile,as,-1
http,www,amazingherbs,com,-1
www,amazingherbs,com,meduseofgari,-1
amazingherbs,com,meduseofgari,html,-1
http,www,diet,recipes,-1
www,diet,recipes,to,-1
diet,recipes,to,go,-1
recipes,to,go,com,-1
to,go,com,appetizer,-1
go,com,appetizer,htm,-1
http,www,dioceseofedinburgh,org,-1
http,www,alterian,com,-1
http,thetechzone,com,articles,-1
thetechzone,com,articles,how,-1
com,articles,how,to,-1
articles,how,to,all,-1
how,to,all,scs,-1
http,www,ptla,org,-1
www,ptla,org,tenants,-1
ptla,org,tenants,htm,-1
http,www,ctsfw,edu,-1
www,ctsfw,edu,etext,-1
ctsfw,edu,etext,boc,-1
edu,etext,boc,ac,-1
http,www,craftyarts,co,-1
www,craftyarts,co,uk,-1
http,www,greenpear,com,-1
http,www,boudriasgroves,com,-1
http,www,healthyplace,com,-1
www,healthyplace,com,communities,-1
healthyplace,com,communities,ocd,-1
com,communities,ocd,sa,-1
http,www,fumecupboards,direct,1
www,fumecupboards,direct,com,1
http,www,rwgrayprojects,com,-1
www,rwgrayprojects,com,synergetics,-1
rwgrayprojects,com,synergetics,syne,-1
http,www,music,ccsu,-1
www,music,ccsu,edu,-1
music,ccsu,edu,ensembles,-1
ccsu,edu,ensembles,html,-1
http,www,gardenburger,com,-1
http,library,kentlaw,edu,-1
http,www,taotechingtaoism,com,-1
www,taotechingtaoism,com,texttaoteching,-1
http,www,zoe,clara,-1
www,zoe,clara,co,-1
zoe,clara,co,uk,-1
http,www,nrich,maths,-1
www,nrich,maths,org,-1
http,www,textfiles,com,-1
www,textfiles,com,survival,-1
http,www,ptprofessionals,com,-1
www,ptprofessionals,com,au,-1
http,www,angelfire,com,-1
www,angelfire,com,biz,-1
angelfire,com,biz,greenlantern,-1
com,biz,greenlantern,ind,-1
http,www,ftmi,org,-1
http,www,wnec,edu,-1
www,wnec,edu,athletics,-1
wnec,edu,athletics,index,-1
edu,athletics,index,cfm,-1
athletics,index,cfm,selec,-1
http,www,factmonster,com,-1
www,factmonster,com,ce,-1
factmonster,com,ce,people,-1
com,ce,people,a,-1
http,www,multnomahaikikai,com,-1
http,www,cedarock,com,-1
http,www,nanobreeze,com,-1
http,bms,brown,edu,-1
bms,brown,edu,ihi,-1
http,www,dkat,com,-1
http,www,countrybitsandblessings,com,-1
http,www,starbridgesystems,com,-1
http,www,registerpaper,com,-1
http,www,gamerstemple,com,-1
www,gamerstemple,com,games,-1
http,www,fourdir,com,-1
www,fourdir,com,powhatan,-1
fourdir,com,powhatan,htm,-1
http,www,knobblystick,com,-1
http,store,motionandsound,com,-1
store,motionandsound,com,cgi,-1
motionandsound,com,cgi,bin,-1
com,cgi,bin,index,-1
http,www,thefigtree,org,-1
http,www,thegreatmorel,com,-1
www,thegreatmorel,com,recipes,-1
thegreatmorel,com,recipes,html,-1
http,www,bannerview,com,1
http,www,nodanw,com,-1
www,nodanw,com,shows,-1
nodanw,com,shows,p,-1
com,shows,p,pal,-1
shows,p,pal,joey,-1
p,pal,joey,htm,-1
http,mb,soft,com,-1
mb,soft,com,believe,-1
soft,com,believe,txc,-1
com,believe,txc,septuagi,-1
believe,txc,septuagi,htm,-1
http,omega,cc,umb,-1
omega,cc,umb,edu,-1
cc,umb,edu,conne,-1
umb,edu,conne,jennjim,-1
edu,conne,jennjim,ailanth,-1
http,www,gamershell,com,-1
www,gamershell,com,pc,-1
gamershell,com,pc,aquanox,-1
com,pc,aquanox,revelat,-1
http,www,kansascityhospice,org,-1
http,www,shilvi,com,-1
http,members,tripod,com,-1
members,tripod,com,debbieha,-1
http,www,nlm,nih,-1
www,nlm,nih,gov,-1
nlm,nih,gov,medlineplus,-1
nih,gov,medlineplus,ency,-1
gov,medlineplus,ency,articl,-1
http,robotics,caltech,edu,-1
http,www,charleslocksmith,com,1
http,www,bc,edu,-1
www,bc,edu,bc,-1
bc,edu,bc,org,-1
edu,bc,org,avp,-1
bc,org,avp,cas,-1
org,avp,cas,fnart,-1
avp,cas,fnart,fa,-1
cas,fnart,fa,h,-1
http,www,gzpaper,com,-1
www,gzpaper,com,cn,-1
http,www,epicenter,org,-1
www,epicenter,org,edot,-1
epicenter,org,edot,newsbot,-1
org,edot,newsbot,asp,-1
edot,newsbot,asp,mode,-1
http,www,geocities,com,-1
www,geocities,com,gszion,-1
geocities,com,gszion,bom,-1
com,gszion,bom,ldsstuff,-1
http,armandie,papillonne,over,-1
armandie,papillonne,over,blog,-1
papillonne,over,blog,com,-1
http,www,wikf,com,-1
http,www,yummycakerecipes,co,1
www,yummycakerecipes,co,uk,1
http,www,leatassie,com,1
http,www,geocities,com,-1
www,geocities,com,sunsetstrip,-1
geocities,com,sunsetstrip,basement,-1
http,www,dynament,com,1
http,www,squidge,org,-1
www,squidge,org,mrs,-1
squidge,org,mrs,fish,-1
org,mrs,fish,xfiles,-1
mrs,fish,xfiles,spooky,-1
http,www,pibburns,com,-1
www,pibburns,com,stamps,-1
pibburns,com,stamps,htm,-1
http,www,angelfire,com,1
www,angelfire,com,az,1
angelfire,com,az,lesclub,1
http,www,humanitiesweb,org,1
www,humanitiesweb,org,human,1
humanitiesweb,org,human,php,1
org,human,php,s,1
human,php,s,c,1
php,s,c,amp,1
http,rockhall,com,hof,-1
rockhall,com,hof,inductee,-1
com,hof,inductee,asp,-1
hof,inductee,asp,id,-1
http,www,davekopel,com,-1
www,davekopel,com,religion,-1
davekopel,com,religion,thomas,-1
com,religion,thomas,aquin,-1
http,www,pqsystems,com,-1
http,www,stanford,edu,-1
www,stanford,edu,group,-1
stanford,edu,group,stanfordbirds,-1
edu,group,stanfordbirds,te,-1
http,xbox,ign,com,1
xbox,ign,com,objects,1
ign,com,objects,html,1
http,www,angelfire,com,-1
www,angelfire,com,dbz,-1
angelfire,com,dbz,goleamsdbzrpg,-1
http,www,geocities,com,1
www,geocities,com,stjnfull,1
http,www,megryan,net,1
http,www,teenmusic,com,1
www,teenmusic,com,d,1
teenmusic,com,d,asp,1
com,d,asp,r,1
http,www,allmusic,com,-1
www,allmusic,com,cg,-1
allmusic,com,cg,amg,-1
com,cg,amg,dll,-1
cg,amg,dll,p,-1
amg,dll,p,amg,-1
dll,p,amg,amp;s,-1
http,xbox,gamespy,com,1
xbox,gamespy,com,xbox,1
gamespy,com,xbox,screwjumper,1
http,www,geocities,com,-1
www,geocities,com,area,-1
geocities,com,area,shire,-1
http,www,gfpp,org,-1
http,www,deltadentalca,org,-1
http,www,badmintonvm,com,1
http,www,edkirkpatrick,com,-1
www,edkirkpatrick,com,pinhole,-1
edkirkpatrick,com,pinhole,htm,-1
http,www,invento,hq,-1
www,invento,hq,com,-1
http,www,newadvent,org,-1
www,newadvent,org,cathen,-1
newadvent,org,cathen,a,-1
org,cathen,a,htm,-1
http,www,bloodandmarrowtransplant,com,-1
http,websites,afar,org,-1
websites,afar,org,site,-1
afar,org,site,pageserver,-1
org,site,pageserver,pagen,-1
http,www,matthewhunter,co,-1
www,matthewhunter,co,uk,-1
http,www,fordham,edu,-1
